Name	Ident_A	Ident_B	Ident_C	Ident_D	ID	RI_Agilent	RI_Restek	RI_Thermo	Author
Citric acid_(4TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	83	1814	1848	1819	MauiSILVIAPHJLK
Isocitric acid_(4TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	84	1817	1852	1822	MauiSILVIAPHJLK
Arginine [-NH3]_(3TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	85	1823	1845	1824	MauiSILVIAPHJLK
Lysine_(3TMS)_BP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	86	1851	1867	1850	MauiSILVIAPHJLK
Fructose_(1MEOX)(5TMS)_MP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	87	1862	1914	1871	MauiSILVIAPHJLK
Adenine_(2TMS)_MP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	88	1866	1881	1861	MauiSILVIAPHJLK
Fructose_(1MEOX)(5TMS)_BP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	89	1871	1927	1880	MauiSILVIAPHJLK
Mannose_(1MEOX)(5TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	90	1875	1931	1884	contrib by M. Pietzke 
Tyrosine_(2TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	91	1883	1897	1890	contrib by M. Pietzke 
Glucose_(1MEOX)(5TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	92	1885	1946	1894	MauiSILVIAPHJLK
Galactose_(1MEOX)(5TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	93	1887	1949	1894	MauiSILVIAPHJLK
Erythrose-4-phosphate_(1MEOX)(4TMS)_BP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	94	1893	1947	1899	MauiSILVIAPHJLK
Erythrose-4-phosphate_(1MEOX)(4TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	95	1902	1959	1910	MauiSILVIAPHJLK
Glucose_(1MEOX)(5TMS)_BP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	96	1902	1966	1914	MauiSILVIAPHJLK
Lysine_(4TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	97	1914	1950	1922	MauiSILVIAPHJLK
Sorbitol_(6TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	98	1923	1991	1939	MauiSILVIAPHJLK
Glucuronic acid_(1MEOX)(5TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	99	1924	2006	1936	MauiSILVIAPHJLK
